,Title,Intensity figure,Metric numerator (Gross global combined Scope 1 and 2 emissions),Metric denominator,Metric denominator: Unit total,Scope 2 figure used,% change from previous year,Direction of change,Reason for change
0,General Motors Company - Climate Change 2018,0.000042,6151691,unit total revenue,145588000000,Market-based,10.4,Decreased,"For the automobile industry, revenue intensity is not a good measure of performance since revenue is not aligned with output or production. A better metric is production intensity based on vehicle output. Revenue reduced by 2.4% due to mainly asset divestiture and market conditions in 2017 vs. 2016. Absolute carbon reduced by 11% due to sale of assets, energy efficiency and increased renewable energy use. Carbon intensity based on vehicle production decreased by 7% which is indicative of performance as opposed to revenue intensity which is less reduction than product intensity."
1,General Motors Company - Climate Change 2018,0.69,6151691,vehicle produced,8898697,Market-based,7,Decreased,"Reduction in vehicle intensity resulted from energy intensity reduction at 2% based on lighting, HVAC, Building envelope, and employee engagement projects and initiatives along with an increase in the use of renewable energy from 3% to 7% in 2017. Vehicle volume reduce slightly at 2%, but overall Scope 1 and 2 absolute emissions reduced by 11% year over year."
2,Mitsubishi Motors Corporation - Climate Change 2020,0.235,533484,unit total revenue,2270276000000,Market-based,14,Increased,"Due to decreased production and sales, operation efficiency has become worse than previous year."
3,Mitsubishi Motors Corporation - Climate Change 2020,0.463,533484,unit of production,1152000,Market-based,5,Increased,"Due to decreased production and sales, operation efficiency has become worse than previous year."
4,Fiat Chrysler Automobiles NV - Climate Change 2019,0.0000326,3599405,unit total revenue,110412000000,Market-based,5.2,Decreased,"In 2018, FCA revenues were in line with 2017, with a decrease of just 0.5% (from approximately \xe2\x82\xac110.9 billion in 2017 to \xe2\x82\xac110.4 billion in 2018). Total GHG emissions decreased by 5.7% (from around 3.8 to 3.6 million tons of CO2) thanks to an additional impact of emission reduction activities (around 3,500 projects) identified to reduce energy consumption and GHG emissions (145,000 tons of CO2 estimated savings) and to the discontinuity of activities with higher average intensity emissions."
5,BMW AG - Climate Change 2020,0.000009067,944833,unit total revenue,104210000000,Market-based,21.6,Decreased,"Increased CO2 efficiency due to emission reduction activities caused the decrease in CO2 emissions / revenue by 21.6% when compared to the 2018 figure of 0.000011567 (Remark: Prior year\xe2\x80\x99s revenue figures adjusted due to a change in accounting policy in connection with the adoption of IFRS16. In addition, figures for the prior year have been adjusted due to changes in presentation of selected items, which are not material overall. The 2018 value is changed compared to the one given in the last years CDP response. In the Annual Report 2019 total revenue of 2018 was adjusted to a value of 96,855,000,000 \xe2\x82\xac. Please see footnote 1 on p.5 of the BMW Group Annual Report 2019) The intensity figure is calculated by dividing emissions from production, administration and company owned vehicles and planes by revenue. In particular increase in energy efficiency as well as use of environmentally friendly and economically sustainable energy resources and purchase of electricity produced from regenerative sources helped to reduce the CO2 emissions in production and administration in 2019 by 15.66%."
6,BMW AG - Climate Change 2020,0.3,697024,vehicle produced,2337697,Market-based,25,Decreased,"Increased CO2 efficiency due to emission reduction activities caused the decrease in CO2 emissions / vehicles produced in the BMW Group production network without volumes of partner plants by 25% when compared to the 2018 figure of 0.40 although the volume of vehicles produced has increased more than 3%. The intensity figure is calculated from Scope 1 and Scope 2 CO2 emissions from vehicle production, without motorcycles, minus CHP (combined heat and power plants) losses divided by the total number of vehicles produced, incl. BMW Brilliance Automotive Ltd. joint venture, Shenyang / CN, not including the vehicles from the Magna Steyr and Nedcar contract production plants. In particular increase in energy efficiency as well as use of environmentally friendly and economically sustainable energy resources and purchase of electricity produced from regenerative sources helped to reduce the CO2 emissions in production in 2019 by 25%."
7,Toyota Motor Corporation - Climate Change 2020,0.53,5683661,vehicle produced,10725214,Market-based,0.07,Decreased,"In order to reduce CO2 emissions in production activities, Toyota is working to make daily improvements and develop and introduce innovative technology. In 2019, at Toyota plants, the manufacturing unit worked closely with units responsible for production technology and motive power to conduct energy diagnosis, offer suggestions for improvement, and implement necessary measures at production sites, and by doing so, we pushed energy conservation efforts (internal ESCO activities) and applied good examples to other units on a continuous basis. In addition, energy conservation effects were obtained by introducing a wider range of innovative technology mainly in the painting process and using less steam and air and more LED lighting. Meanwhile, Toyota worked with group companies and suppliers to share know-how in energy conservation so that they could reflect it in their operations for improvement. Furthermore, it strove to introduce renewable energy while taking into account the characteristics of the countries and regions in which it operated. Currently, as typified by the ongoing construction of a 21.5MW wind power plant at the Tahara Plant in Japan, the company is promoting the introduction of power generation equipment using renewable energy at the site of its plants."
8,"Honda Motor Co., Ltd. - Climate Change 2019",0.344,5470000,unit total revenue,15900000000000,Market-based,3.9,Decreased,"Our revenue increased about 3% from the previous year, and unit sales rose about 2% in Automobiles, 4% in Motorcycles, and 1% in Power Products. Though sales of all products increase 2.7% year-on-year, as a result of our global activities to reduce emissions, we increased efficiency and decrease total GHG emissions by approximately 0.6%. Honda has implemented measures to reduce GHG emissions, such as measures to streamline its productions, conversion to low-carbon energy, and introducing renewable energy, and will continue these emissions reduction activities in the future as well. Example of our emission reduction activities is, replacing the chilled and hot water generator, which serves as the heat source for air conditioning, with a heat pump chiller, and saved LNG consumption by 39,000 GJ/year."
9,"Honda Motor Co., Ltd. - Climate Change 2019",0.405,5470000,"Other, please specify (Adjusted sales of non-financial services)",13500000000000,Market-based,2.4,Decreased,"Except for sales in the financial services business, which is less correlated with greenhouse gas emissions, we established a basic unit indicator that is more correlated with greenhouse gas emissions, and confirmed the changes. As a result, net sales excluding the financial services business and the number of automobiles produced increased by 2.7% from the previous year, but total GHG emissions decreased by about 2.4% compared to the previous year as a result of global activities to reduce GHG emissions. This was largely attributable to our ongoing activities to reduce GHG emissions, such as measures to improve the factor of production operations, conversion to low-carbon energy, and the introduction of renewable energy. Honda will continue to promote activities to reduce GHG emissions. Example of our emission reduction activities is, replacing the chilled and hot water generator, which serves as the heat source for air conditioning, with a heat pump chiller, and saved LNG consumption by 39,000 GJ/year."
10,"Honda Motor Co., Ltd. - Climate Change 2018",0.354,5450000,unit total revenue,15400000,Market-based,4.8,Decreased,"Our revenue increased about 10% from the previous year, and unit sales rose about 3.4% in Automobiles, 10.7% in Motorcycles, and 2.3% in Power Products. Though sales of all products increase 7.6% year-on-year, as a result of our global activities to reduce emissions, we increased efficiency and decrease total GHG emissions by approximately 4.8%. Honda has implemented measures to reduce GHG emissions, such as measures to streamline its productions, conversion to low-carbon energy, and introducing renewable energy, and will continue these emissions reduction activities in the future as well. Example of our emission reduction activities is, replacing the chilled and hot water generator, which serves as the heat source for air conditioning, with a heat pump chiller, and saved LNG consumption by 39,000 GJ/year. *The denominator is stated in units of JPY1,000,000, because the values of the basic unit and the denominator are not included in the system, and the basic unit is also calculated based on the denominator."
11,"Honda Motor Co., Ltd. - Climate Change 2018",0.413,5450000,"Other, please specify (Adjusted sales of non-financial services)",13200000,Location-based,3.7,Decreased,"Except for sales in the financial services business, which is less correlated with greenhouse gas emissions, we established a basic unit indicator that is more correlated with greenhouse gas emissions, and confirmed the changes. As a result, net sales excluding the financial services business and the number of automobiles produced increased by 7.6% from the previous year, but total GHG emissions decreased by about 3.7% compared to the previous year as a result of global activities to reduce GHG emissions. This was largely attributable to our ongoing activities to reduce GHG emissions, such as measures to improve the factor of production operations, conversion to low-carbon energy, and the introduction of renewable energy. Honda will continue to promote activities to reduce GHG emissions. Example of our emission reduction activities is, replacing the chilled and hot water generator, which serves as the heat source for air conditioning, with a heat pump chiller, and saved LNG consumption by 39,000 GJ/year. *The denominator is stated in units of JPY1,000,000, because the values of the basic unit and the denominator are not included in the system, and the basic unit is also calculated based on the denominator."
12,Fiat Chrysler Automobiles NV - Climate Change 2018,0.0000343902,3815037,unit total revenue,110934000000,Market-based,2.1,Decreased,"In 2017, FCA revenues were in line with 2016, with a decrease of just 0.1% (from approximately \xe2\x82\xac111.0 billion in 2016 to \xe2\x82\xac110.9 billion in 2017). Total GHG emissions decreased 2.2% (from around 3.9 to 3.8 million tons of CO2) thanks to an additional impact of emission reduction activities (around 3,600 projects) identified to reduce energy consumption and GHG emissions (160,000 tons of CO2 estimated savings) and to additional use of renewable energy (+1%)."
13,SUBARU CORPORATION - Climate Change 2020,20.07,671253.1,unit total revenue,33441,Market-based,1.43,Decreased,Due to effect of CO2 emission reduction by installation of energy saving facility and usage of renewable electricity at production site with high emission percentage
14,General Motors Company - Climate Change 2019,0.67,5687893,vehicle produced,8459236,Market-based,3,Decreased,"Implementation of RE-100 was the largest factor in reducing GHG intensity as vehicle volume reduced by 5% in 2018 from 2017, absolute reduction was 6% from a combination of RE-100 implementation and energy efficiency projects like LED lights, building management systems, and process optimization. As GM is highly vertically integrated, our Assembly plant only intensity is 0.41 tonnes per vehicle with the remainder of 0.67 tonnes/vehicle coming from internal parts production and non-manufacturing activities."
