,Title,Activity,Emissions intensity figure,Metric numerator (Scope 3 emissions: use of sold products) in Metric tons CO2e,Metric denominator,Metric denominator: Unit total,% change from previous year,Vehicle unit sales in reporting year,Vehicle lifetime in years,Annual distance in km or miles (unit specified by column 4),Load factor
0,General Motors Company - Climate Change 2018,Light Duty Vehicles (LDV),0.0013,220929108,p.km,173842500000,-16,8915000,10,15000,Average occupancy rates for passenger vehicles under various use scenarios according to European Environment Agency is 1.3 passengers per vehicle.
1,Mitsubishi Motors Corporation - Climate Change 2020,Light Duty Vehicles (LDV),0.000159,26833360,p.km,169050000000,11,1127000,15,10000,"In our internal metric, neither passenger numbers nor cargo amount are not consider in calculation for the intensity of Scope 3 category 11. Therefore, load factor is considered as 1."
2,Fiat Chrysler Automobiles NV - Climate Change 2019,Light Duty Vehicles (LDV),0.000103,85899110,p.km,833114880000,-0.8,3471312,10,15000,"The calculation of emissions intensity figure is based on average occupancy rates for passengers cars used in MoMo ( Mobility Model), 2017 :equal to 1.6. This load factor value could change in the coming years depending on several factors such as mobility trends and future services offered (e.g., TaaS, Transport as a Service ) https://sciencebasedtargets.org/wp-content/uploads/2018/05/SBT-transport-guidance-Final.pdf."
3,BMW AG - Climate Change 2020,Light Duty Vehicles (LDV),0.00014,53421006,p.km,380760000000,-0.7,2538367,15,10000,1
4,Toyota Motor Corporation - Climate Change 2020,Light Duty Vehicles (LDV),0.000097,248450806,p.km,2688204288000,90.6,10500798,10,16000,1.6
5,Toyota Motor Corporation - Climate Change 2020,Heavy Duty Vehicles (HDV),0.000066,57371134,t.km,867355632000,93,180024,10,66000,7.3
6,"Honda Motor Co., Ltd. - Climate Change 2019",Light Duty Vehicles (LDV),133.9,257000000,t.km,86100000000,1,4890000,18,17600,Not applicable
7,"Honda Motor Co., Ltd. - Climate Change 2018",Light Duty Vehicles (LDV),139.8,261000000,t.km,85000000000,0,4830000,18,17600,Not applicable
8,Fiat Chrysler Automobiles NV - Climate Change 2018,Light Duty Vehicles (LDV),0.000104,90152474,p.km,53873610000,,3591574,10,15000,"The calculation of emissions intensity figure is based on average occupancy rates for passengers cars used in MoMo ( Mobility Model), 2017 :equal to 1.6. This load factor value could change in the coming years depending on several factors such as mobility trends and future services offered (e.g., TaaS, Transport as a Service ) https://sciencebasedtargets.org/wp-content/uploads/2018/05/SBT-transport-guidance-Final.pdf."
9,SUBARU CORPORATION - Climate Change 2020,Light Duty Vehicles (LDV),0.000148,31390639,p.km,212532057400,0.01,1033900,13,205563,1.5
