,Title,Source,Nameplate capacity (MW),Gross electricity generation (GWh),Net electricity generation (GWh),Absolute scope 1 emissions (metric tons CO2e),Scope 1 emissions intensity (metric tons CO2e per GWh)
0,EDF - Climate Change 2020,Coal \xe2\x80\x93 hard,3739,3481.09,3419.6,3499780.725,1005.37
1,EDF - Climate Change 2020,Lignite,0,0,0,0,0
2,EDF - Climate Change 2020,Oil,3988.17,4813.96,4700.34,3440249.309,714.64
3,EDF - Climate Change 2020,Gas,12066.41,49905.89,49017.6,22494539.223,450.74
4,EDF - Climate Change 2020,Biomass,240.44,1493.49,1293.28,2901447.527,1942.73
5,EDF - Climate Change 2020,Waste (non-biomass),0,0,0,0,0
6,EDF - Climate Change 2020,Nuclear,72952.5,455779.7,437559.88,0,0
7,EDF - Climate Change 2020,Fossil-fuel plants fitted with CCS,0,0,0,0,0
8,EDF - Climate Change 2020,Geothermal,1,4.19,4.19,0,0
9,EDF - Climate Change 2020,Hydropower,21375.32,45625.79,43707.44,0,0
10,EDF - Climate Change 2020,Wind,6691.11,16019.96,16008.04,0,0
11,EDF - Climate Change 2020,Solar,921.38,972.84,972.56,0,0
12,EDF - Climate Change 2020,Marine,240,633.85,531.65,0,0
13,EDF - Climate Change 2020,Other renewable,0,0,0,0,0
14,EDF - Climate Change 2020,Other non-renewable,85,396.16,396.07,129453.782,326.77
15,EDF - Climate Change 2020,Total,122300.33,579126.91,557610.65,32465470.566,56.06
16,Elia System Operator - Climate Change 2020,Coal \xe2\x80\x93 hard,,,,,
17,Elia System Operator - Climate Change 2020,Lignite,,,,,
18,Elia System Operator - Climate Change 2020,Oil,,,,,
19,Elia System Operator - Climate Change 2020,Gas,,,,,
20,Elia System Operator - Climate Change 2020,Biomass,,,,,
21,Elia System Operator - Climate Change 2020,Waste (non-biomass),,,,,
22,Elia System Operator - Climate Change 2020,Nuclear,,,,,
23,Elia System Operator - Climate Change 2020,Fossil-fuel plants fitted with CCS,,,,,
24,Elia System Operator - Climate Change 2020,Geothermal,,,,,
25,Elia System Operator - Climate Change 2020,Hydropower,,,,,
26,Elia System Operator - Climate Change 2020,Wind,,,,,
27,Elia System Operator - Climate Change 2020,Solar,,,,,
28,Elia System Operator - Climate Change 2020,Marine,,,,,
29,Elia System Operator - Climate Change 2020,Other renewable,,,,,
30,Elia System Operator - Climate Change 2020,Other non-renewable,,,,,
31,Elia System Operator - Climate Change 2020,Total,,,,,
32,TransAlta Corporation - Climate Change 2020,Coal \xe2\x80\x93 hard,0,0,0,0,0
33,TransAlta Corporation - Climate Change 2020,Lignite,4174,17599,17599,17954533,1020.2
34,TransAlta Corporation - Climate Change 2020,Oil,0,0,0,0,0
35,TransAlta Corporation - Climate Change 2020,Gas,1268,4112,4112,2479264,602.91
36,TransAlta Corporation - Climate Change 2020,Biomass,0,0,0,0,0
37,TransAlta Corporation - Climate Change 2020,Waste (non-biomass),0,0,0,0,0
38,TransAlta Corporation - Climate Change 2020,Nuclear,0,0,0,0,0
