,Title,Activity,Metric numerator (Scope 3 emissions: use of sold products) in Metric tons CO2e,Vehicle unit sales in reporting year,Vehicle lifetime in years,Annual distance in km or miles (unit specified by column 4),gCO2e / km
31,Hyundai Motor Co - Climate Change 2020,Light Duty Vehicles (LDV),4399090.0,339260.0,10.0,12000.0,108.05601406983827
21,Mahindra &amp; Mahindra - Climate Change 2020,Light Duty Vehicles (LDV),3130598.0,171189.0,15.0,10000.0,121.91585518539938
52,Daimler AG - Climate Change 2018,Light Duty Vehicles (LDV),16875000.0,900000.0,10.0,15000.0,125.0
30,Groupe PSA - Climate Change 2018,Light Duty Vehicles (LDV),61174707.0,3228381.0,10.0,15000.0,126.32690503382345
13,Groupe PSA - Climate Change 2019,Light Duty Vehicles (LDV),73489309.0,3877765.0,10.0,15000.0,126.34306789263059
24,Daimler AG - Climate Change 2020,Light Duty Vehicles (LDV),24030000.0,890000.0,10.0,20000.0,135.0
71,SUBARU CORPORATION - Climate Change 2018,Light Duty Vehicles (LDV),18806767.0,1067000.0,11.0,11818.18,135.58337461862314
25,Suzuki Motor Corporation - Climate Change 2019,Light Duty Vehicles (LDV),66779603.0,3223897.0,15.0,10000.0,138.09292087598746
3,BMW AG - Climate Change 2020,Light Duty Vehicles (LDV),53421006.0,2538367.0,15.0,10000.0,140.30281673217465
62,BMW AG - Climate Change 2018,Light Duty Vehicles (LDV),51887708.0,2460000.0,15.0,10000.0,140.61709485094852
68,BMW AG - Climate Change 2019,Light Duty Vehicles (LDV),52759567.0,2490664.0,15.0,10000.0,141.21954895026653
56,Mazda Motor Corporation - Climate Change 2018,Light Duty Vehicles (LDV),30820110.0,1017051.0,16.0,13089.0,144.6988244605567
36,Mazda Motor Corporation - Climate Change 2019,Light Duty Vehicles (LDV),31853480.0,1026196.0,16.1,13169.0,146.40229839700422
46,"Nissan Motor Co., Ltd. - Climate Change 2020",Light Duty Vehicles (LDV),153428000.0,4930000.0,17.0,12470.0,146.80550108232555
4,Toyota Motor Corporation - Climate Change 2020,Light Duty Vehicles (LDV),248450806.0,10500798.0,10.0,16000.0,147.87614593671833
26,Mazda Motor Corporation - Climate Change 2020,Light Duty Vehicles (LDV),31068378.0,971149.0,16.06,13336.0,149.3693824231814
35,Suzuki Motor Corporation - Climate Change 2020,Light Duty Vehicles (LDV),75762163.0,3327174.0,15.0,10000.0,151.8048309666602
20,"Nissan Motor Co., Ltd. - Climate Change 2019",Light Duty Vehicles (LDV),180882000.0,5516000.0,17.0,12470.0,154.68767750445627
51,Renault - Climate Change 2018,Light Duty Vehicles (LDV),78134615.0,3356747.0,10.0,15000.0,155.17923553170178
40,Volkswagen AG - Climate Change 2019,Light Duty Vehicles (LDV),332364361.0,10675268.0,15.0,13333.0,155.67415746225666
1,Mitsubishi Motors Corporation - Climate Change 2020,Light Duty Vehicles (LDV),26833360.0,1127000.0,15.0,10000.0,158.73031647441584
65,"Honda Motor Co., Ltd. - Climate Change 2020",Light Duty Vehicles (LDV),247000000.0,4890000.0,18.0,17600.0,159.4420689512714
32,Hyundai Motor Co - Climate Change 2019,Light Duty Vehicles (LDV),3576346.3,184344.0,10.0,12000.0,161.66995309493845
23,Volkswagen AG - Climate Change 2020,Light Duty Vehicles (LDV),344474742.0,10601042.0,15.0,13333.0,162.47617643805773
66,Toyota Motor Corporation - Climate Change 2019,Light Duty Vehicles (LDV),266983044.35,10247047.0,10.0,16000.0,162.8414534633734
61,Mitsubishi Motors Corporation - Climate Change 2018,Light Duty Vehicles (LDV),30731365.0,1248650.0,15.0,10000.0,164.07781737609952
57,General Motors Company - Climate Change 2020,Light Duty Vehicles (LDV),190123729.0,7718000.0,10.0,15000.0,164.2253856785005
2,Fiat Chrysler Automobiles NV - Climate Change 2019,Light Duty Vehicles (LDV),85899110.0,3471312.0,10.0,15000.0,164.96953697430058
