,Title,Activity,Currency,Metric numerator (Scope 3 emissions: use of sold products) in Metric tons CO2e,Vehicle unit sales in reporting year,Vehicle lifetime in years,Annual distance in km or miles (unit specified by column 4),Scope 1,Scope 2 (location based),Carbometrix: Use of sold products,Carboon footprint,Total revenue (million of EUR),tCO2e / M EUR
24,Hyundai Motor Co - Climate Change 2019,Light Duty Vehicles (LDV),KRW,3576346.3,184344.0,10.0,12000.0,831180.0,1920126,4470432.875,7385158.474999999,13323579.883620594,0.5542923553210334
25,Hyundai Motor Co - Climate Change 2019,Light Duty Vehicles (LDV),KRW,4937006.49,237376.0,10.0,12000.0,831180.0,1920126,6171258.1125,9085983.7125,13323579.883620594,0.681947629080522
27,Mazda Motor Corporation - Climate Change 2019,Light Duty Vehicles (LDV),JPY,31853480.0,1026196.0,16.1,13169.0,132290.0,584740,22535617.95087182,27843445.95087182,2807510.4355359534,9.917486182221976
45,Mazda Motor Corporation - Climate Change 2018,Light Duty Vehicles (LDV),JPY,30820110.0,1017051.0,16.0,13089.0,135880.0,616360,22074912.617465045,27365719.617465045,2736098.2909348663,10.0017311907734
21,Mazda Motor Corporation - Climate Change 2020,Light Duty Vehicles (LDV),JPY,31068378.0,971149.0,16.06,13336.0,117120.0,534950,21758988.955633532,27145097.955633532,2701649.9960620617,10.047599798345589
23,Hyundai Motor Co - Climate Change 2020,Light Duty Vehicles (LDV),KRW,4399090.0,339260.0,10.0,12000.0,808139.0,1900954,5498862.5,8925211.5,77989.26329918652,114.44154134089757
47,Hyundai Motor Co - Climate Change 2018,Light Duty Vehicles (LDV),KRW,4937006.49,237376.0,10.0,12000.0,805105.0,1797736,6171258.1125,9457703.912500001,71078.52217330059,133.0599402368079
13,"Nissan Motor Co., Ltd. - Climate Change 2018",Light Duty Vehicles (LDV),JPY,190261.0,5770000.0,17.0,12470.0,912476.0,2563866,134624.98231048635,23832100.982310485,104867.29148617784,227.25962160900954
42,Daimler AG - Climate Change 2018,Light Duty Vehicles (LDV),EUR,16875000.0,900000.0,10.0,15000.0,1192000.0,2041000,16875000.0,40397800.0,164330.0,245.8333840443011
19,Daimler AG - Climate Change 2020,Light Duty Vehicles (LDV),EUR,24030000.0,890000.0,10.0,20000.0,1239000.0,1706000,18022500.0,46470300.0,172745.0,269.01096992677066
3,BMW AG - Climate Change 2020,Light Duty Vehicles (LDV),EUR,53421006.0,2538367.0,15.0,10000.0,642259.0,1420172,53421006.0,75684545.0,104210.0,726.2695038863833
50,BMW AG - Climate Change 2018,Light Duty Vehicles (LDV),EUR,51887708.0,2460000.0,15.0,10000.0,625072.0,1572432,51887708.0,72315825.0,98678.0,732.8464804718377
56,BMW AG - Climate Change 2019,Light Duty Vehicles (LDV),EUR,52759567.0,2490664.0,15.0,10000.0,581703.0,1539378,52759567.0,73674780.0,97480.0,755.7938038572015
2,Fiat Chrysler Automobiles NV - Climate Change 2019,Light Duty Vehicles (LDV),EUR,85899110.0,3471312.0,10.0,15000.0,1129268.0,2795995,85899110.0,117123193.0,110412.0,1060.7831847987538
6,Fiat Chrysler Automobiles NV - Climate Change 2018,Light Duty Vehicles (LDV),EUR,90152474.0,3591574.0,10.0,15000.0,1101289.0,3309598,90152474.0,125830877.0,110934.0,1134.2859447960047
57,Fiat Chrysler Automobiles NV - Climate Change 2020,Light Duty Vehicles (LDV),EUR,92524830.0,3630242.0,10.0,15000.0,1058367.0,2296709,92524830.0,123809061.0,108187.0,1144.3986893064787
59,SUBARU CORPORATION - Climate Change 2018,Light Duty Vehicles (LDV),JPY,18806767.0,1067000.0,11.0,11818.18,351327.71,,21700119.10771063,31799094.81771063,26818.93360636371,1185.6957209575703
39,Ford Motor Company - Climate Change 2019,Light Duty Vehicles (LDV),USD,134409771.6,4933419.0,10.0,15000.0,1442963.0,3349808,134409771.6,175839059.6,132479.3388429752,1327.2942115782907
