,Title,Scope 1,Scope 2 (location based),Scope 2 (market based),Purchased goods and services,Capital goods,Fuel-and-energy-related activities (not included in Scope 1 or 2),Upstream transportation and distribution,Waste generated in operations,Business travel,Employee commuting,Upstream leased assets,Downstream transportation and distribution,Processing of sold products,Use of sold products,End of life treatment of sold products,Downstream leased assets,Franchises,Investments,Other (upstream),Other (downstream)
0,General Motors Company - Climate Change 2018,1848804.0,4572734,4302887,46174073.0,4596326.0,354560.0,3029058.0,66111.0,50137.0,135000.0,10077.0,1609174.0,120731.0,220929108.0,3559479.0,20459.0,136449.0,59212.0,,
6,"Honda Motor Co., Ltd. - Climate Change 2018",1350000.0,3790000,4100000,43500000.0,1250000.0,463000.0,2933000.0,213000.0,274000.0,170000.0,0.0,109000.0,36700.0,261000000.0,4000000.0,0.0,0.0,119000.0,,
7,Fiat Chrysler Automobiles NV - Climate Change 2018,1101289.0,3309598,2713748,30536470.0,1327453.0,127320.0,877438.0,1612.0,39326.0,9087.0,0.0,643850.0,,90152474.0,889023.0,0.0,125535.0,,,
11,BYD - Climate Change 2018,,,,,,,,,,,,,,,,,,,,
13,Isuzu Motors Limited - Climate Change 2018,132181.0,91586,85928,4814071.0,115216.0,32900.0,17242.0,6125.0,1056.0,14482.0,0.0,37768.0,600776.0,27393155.0,384.0,0.0,0.0,0.0,0.0,0.0
16,"Nissan Motor Co., Ltd. - Climate Change 2018",912476.0,2563866,2394109,17971000.0,1203000.0,412000.0,740000.0,197000.0,230000.0,252000.0,,874000.0,11000.0,190261000.0,425000.0,470000.0,,,,
26,Groupe PSA - Climate Change 2018,426737.0,182548,119512,18281839.0,,,1047397.0,,16829.0,64050.0,,380872.0,,72556048.0,1142615.0,,,,,
36,Ford Motor Company - Climate Change 2018,1391127.0,3482444,3359908,42178358.0,1048894.0,1100000.0,2433990.0,127979.0,55976.0,104840.0,,,,161400000.0,1400000.0,,1957800.0,,,
37,PACCAR Inc - Climate Change 2018,109976.0,165487,171728,3176610.0,1143950.0,24528.0,1166395.0,253.0,9747.0,40425.0,,238339.0,94935.0,130395880.0,11772.0,15775213.0,,,,
40,Mahindra &amp; Mahindra - Climate Change 2018,41777.0,229217,226950,5712638.63,759281.0,55834.0,72045.0,125475.85,11428.0,1756.0,0.0,265027.0,0.0,7583137.0,699626.0,0.0,126072.0,,,
43,Renault - Climate Change 2018,674960.0,704277,610009,12853847.0,1361610.0,172545.0,560990.0,1121258.0,78793.0,53075.0,619.0,590940.0,,89344634.0,1727965.0,,324792.0,1602829.0,,
44,Daimler AG - Climate Change 2018,1192000.0,2041000,1763000,17200000.0,1068000.0,192000.0,251000.0,904000.0,95800.0,287000.0,,600000.0,100000.0,60200000.0,1000000.0,,633000.0,,,
45,Volkswagen AG - Climate Change 2018,4297748.0,5901889,4907050,64139109.0,13846493.0,1399741.0,4374823.0,2259423.0,685148.0,976650.0,,,13000.0,249466650.0,1114154.0,942053.0,1550000.0,,,
47,Navistar International Corporation - Climate Change 2018,77503.0,145869,,,,,,,,,,,,50000000.0,,,0.0,,0.0,0.0
48,Mazda Motor Corporation - Climate Change 2018,135880.0,616360,,4518087.0,58893.0,85322.0,26750.0,4558.0,10961.0,3243.0,0.0,41310.0,0.0,30799000.0,405803.0,0.0,0.0,0.0,,
50,Hyundai Motor Co - Climate Change 2018,805105.0,1797736,1771132,782672.59,212.65,53863.99,,51727.44,294896.5,27428.5,,748242.1,151545.01,4937006.49,5956.42,1134.0,,363661.6,,
53,Mitsubishi Motors Corporation - Climate Change 2018,120063.0,410151,419856,5855319.0,296825.0,44696.0,1013047.0,15874.0,3966.0,13533.0,,,,30731365.0,741367.0,,4735.0,,,
54,BMW AG - Climate Change 2018,625072.0,1572432,510911,16786192.0,,,1473087.0,,169233.0,140187.0,,,,51887708.0,1234346.0,,,,,
55,Toyota Motor Corporation - Climate Change 2018,2604655.0,5265425,,61196000.0,3891000.0,959000.0,852000.0,118000.0,141000.0,706000.0,0.0,9000.0,1070000.0,328938000.0,3711000.0,,,151000.0,,
61,SUBARU CORPORATION - Climate Change 2018,351327.71,,340262.28,7251192.0,463638.0,81818.0,1252378.0,28776.0,4361.0,11766.0,,,4200.0,18806767.0,593463.0,,56056.0,0.0,,
Non Answer,,5.0,10.0,20.0,10.0,20.0,20.0,15.0,20.0,10.0,10.0,60.0,35.0,40.0,5.0,10.0,50.0,35.0,60.0,90.0,90.0
