,Title,Activity,Metric numerator (Scope 3 emissions: use of sold products) in Metric tons CO2e,Vehicle unit sales in reporting year,Vehicle lifetime in years,Annual distance in km or miles (unit specified by column 4),Scope 1,Scope 2 (location based),Carbometrix: Use of sold products,Carboon footprint,tCO2e / cars
53,SUBARU CORPORATION - Climate Change 2019,Light Duty Vehicles (LDV),18806767.0,100000000.0,11.0,100000.0,344850.0,,2564559.1363636362,12600736.136363637,0.12600736136363636
16,"Nissan Motor Co., Ltd. - Climate Change 2018",Light Duty Vehicles (LDV),190261.0,5770000.0,17.0,12470.0,912476.0,2563866,134624.98231048635,23832100.982310485,4.130346790695058
9,SUBARU CORPORATION - Climate Change 2020,Light Duty Vehicles (LDV),31390639.0,1033900.0,13.0,205563.0,279674.2,426247.2,1761988.6884761886,5915726.888476189,5.721759249904429
23,Suzuki Motor Corporation - Climate Change 2019,Light Duty Vehicles (LDV),66779603.0,3223897.0,15.0,10000.0,597347.0,644898,66779603.0,78012072.0,24.198065881137023
27,Groupe PSA - Climate Change 2018,Light Duty Vehicles (LDV),61174707.0,3228381.0,10.0,15000.0,426737.0,182548,61174707.0,82535046.0,25.565460210551358
11,Groupe PSA - Climate Change 2019,Light Duty Vehicles (LDV),73489309.0,3877765.0,10.0,15000.0,878013.0,435943,73489309.0,99424871.0,25.63973603351415
41,"Nissan Motor Co., Ltd. - Climate Change 2020",Light Duty Vehicles (LDV),153428000.0,4930000.0,17.0,12470.0,765370.0,2337703,108562668.05037974,129039038.05037974,26.174247069042544
28,Hyundai Motor Co - Climate Change 2020,Light Duty Vehicles (LDV),4399090.0,339260.0,10.0,12000.0,808139.0,1900954,5498862.5,8925211.5,26.307880386724047
31,Suzuki Motor Corporation - Climate Change 2020,Light Duty Vehicles (LDV),75762163.0,3327174.0,15.0,10000.0,623000.0,587000,75762163.0,87634163.0,26.3389179525928
50,Mazda Motor Corporation - Climate Change 2018,Light Duty Vehicles (LDV),30820110.0,1017051.0,16.0,13089.0,135880.0,616360,22074912.617465045,27365719.617465045,26.90692956151171
32,Mazda Motor Corporation - Climate Change 2019,Light Duty Vehicles (LDV),31853480.0,1026196.0,16.1,13169.0,132290.0,584740,22535617.95087182,27843445.95087182,27.132678309866556
18,"Nissan Motor Co., Ltd. - Climate Change 2019",Light Duty Vehicles (LDV),180882000.0,5516000.0,17.0,12470.0,889444.0,2539607,127988584.36718713,151103028.36718714,27.393587448728635
24,Mazda Motor Corporation - Climate Change 2020,Light Duty Vehicles (LDV),31068378.0,971149.0,16.06,13336.0,117120.0,534950,21758988.955633532,27145097.955633532,27.951527474809254
55,BMW AG - Climate Change 2018,Light Duty Vehicles (LDV),51887708.0,2460000.0,15.0,10000.0,625072.0,1572432,51887708.0,72315825.0,29.396676829268294
46,Renault - Climate Change 2018,Light Duty Vehicles (LDV),78134615.0,3356747.0,10.0,15000.0,674960.0,704277,78134615.0,99258838.0,29.569949120383516
61,BMW AG - Climate Change 2019,Light Duty Vehicles (LDV),52759567.0,2490664.0,15.0,10000.0,581703.0,1539378,52759567.0,73674780.0,29.58037695971837
4,Toyota Motor Corporation - Climate Change 2020,Light Duty Vehicles (LDV),248450806.0,10500798.0,10.0,16000.0,1904119.0,4244743,232922630.625,312266749.625,29.73743039576611
64,SUBARU CORPORATION - Climate Change 2018,Light Duty Vehicles (LDV),18806767.0,1067000.0,11.0,11818.18,351327.71,,21700119.10771063,31799094.81771063,29.802338160928425
3,BMW AG - Climate Change 2020,Light Duty Vehicles (LDV),53421006.0,2538367.0,15.0,10000.0,642259.0,1420172,53421006.0,75684545.0,29.816234216722798
54,Mitsubishi Motors Corporation - Climate Change 2018,Light Duty Vehicles (LDV),30731365.0,1248650.0,15.0,10000.0,120063.0,410151,30731365.0,38840790.0,31.10622672486285
10,General Motors Company - Climate Change 2019,Light Duty Vehicles (LDV),208375500.0,8380000.0,10.0,15000.0,1763555.0,4322761,208375500.0,264262751.0,31.534934486873507
1,Mitsubishi Motors Corporation - Climate Change 2020,Light Duty Vehicles (LDV),26833360.0,1127000.0,15.0,10000.0,116606.0,386402,26833360.0,35545957.0,31.54033451641526
0,General Motors Company - Climate Change 2018,Light Duty Vehicles (LDV),220929108.0,8915000.0,10.0,15000.0,1848804.0,4572734,220929108.0,282698758.0,31.710460796410544
59,Toyota Motor Corporation - Climate Change 2019,Light Duty Vehicles (LDV),266983044.35,10247047.0,10.0,16000.0,2554576.66,5238108.05,250296604.078125,326352780.73812497,31.84847114862701
