,Title,Activity,Metric figure,Metric numerator,Metric denominator,Metric numerator: Unit total,Metric denominator: Unit total,% change from previous year
0,Mazda Motor Corporation - Climate Change 2020,Light Duty Vehicles (LDV),0.0001462,tCO2,Use phase: Vehicle.km,31068378,212433635100,-2.46
1,Groupe PSA - Climate Change 2020,Light Duty Vehicles (LDV),0.339,tCO2e,Production: Vehicle,1026635,3028422,43.6
2,Hyundai Motor Co - Climate Change 2018,Light Duty Vehicles (LDV),1.5747,tCO2e,Production: Vehicle,2602842,1652877,1.58
3,Groupe PSA - Climate Change 2019,Light Duty Vehicles (LDV),0.37,tCO2e,Production: Vehicle,1162488,3124968,43.6
4,Hyundai Motor Co - Climate Change 2020,Light Duty Vehicles (LDV),1.5167,tCO2e,Production: Vehicle,2709093,1786131,-5.72
5,"Honda Motor Co., Ltd. - Climate Change 2020",Light Duty Vehicles (LDV),129,"Other, please specify (gCO2/km)",Production: Vehicle,667000000,4890000,-0.5
6,"Nissan Motor Co., Ltd. - Climate Change 2018",Light Duty Vehicles (LDV),0.58,tCO2e,Production: Vehicle,3306384,5672000,-7.6
7,Fiat Chrysler Automobiles NV - Climate Change 2018,Light Duty Vehicles (LDV),25,tCO2,Production: Vehicle,90152474,3591574,-3
8,Daimler AG - Climate Change 2018,Light Duty Vehicles (LDV),0.843,tCO2,Production: Vehicle,1530180,1814839,-1.73
9,Daimler AG - Climate Change 2018,Heavy Duty Vehicles (HDV),1.844,tCO2,Production: Vehicle,878682,476443,-12.39
10,Volkswagen AG - Climate Change 2018,Light Duty Vehicles (LDV),0.8185,tCO2e,Production: Vehicle,8731064,10667549,-8.8
11,Volkswagen AG - Climate Change 2018,Heavy Duty Vehicles (HDV),nan,Please select,Please select,nan,nan,Please explain
12,Ford Motor Company - Climate Change 2018,Light Duty Vehicles (LDV),186.2,tCO2e,Use phase: Vehicle.km,161356663,866371800000,1.3
13,Ford Motor Company - Climate Change 2018,Light Duty Vehicles (LDV),0.63,tCO2e,Production: Vehicle,4168442,6602888,-9.7
14,Daimler AG - Climate Change 2020,Light Duty Vehicles (LDV),0.74133,tCO2,Production: Vehicle,1181294,1593476,-13.71
15,Daimler AG - Climate Change 2020,Heavy Duty Vehicles (HDV),1.666287734,tCO2,Production: Vehicle,803244,482056,-2.36
16,Isuzu Motors Limited - Climate Change 2018,Heavy Duty Vehicles (HDV),638,tCO2,Life cycle (please explain assumptions),638,1,98
17,Isuzu Motors Limited - Climate Change 2018,Heavy Duty Vehicles (HDV),189,tCO2,Life cycle (please explain assumptions),189,1,99
18,Renault - Climate Change 2020,Light Duty Vehicles (LDV),0.39,tCO2e,Production: Vehicle,1212351,3120008,3.77
19,SUBARU CORPORATION - Climate Change 2018,Light Duty Vehicles (LDV),20.31,tCO2,"Other, please specify (\xe5\xa3\xb2\xe4\xb8\x8a\xe9\xab\x98\xef\xbc\x88\xe5\x84\x84\xe5\x86\x86\xef\xbc\x89)",691590,34052.21,-0.01
20,PACCAR Inc - Climate Change 2020,Heavy Duty Vehicles (HDV),1.4,tCO2e,Production: Vehicle,285498,198800,-7
21,Ferrari - Climate Change 2019,Light Duty Vehicles (LDV),49.7,MWh,Production: Vehicle,459693,9251,-8.5
22,PACCAR Inc - Climate Change 2019,Heavy Duty Vehicles (HDV),1.5,tCO2e,Production: Vehicle,292716,189100,-11
23,Mahindra &amp; Mahindra - Climate Change 2018,Light Duty Vehicles (LDV),158,"Other, please specify (gm/km is the metric)",Use phase: Vehicle.km,158,1,3.2
