,Title,Intensity figure,Metric numerator (Gross global combined Scope 1 and 2 emissions),Metric denominator,Metric denominator: Unit total,Scope 2 figure used,% change from previous year,Direction of change,Reason for change
0,EDF - Climate Change 2020,0.00047,33379486.72,unit total revenue,71317000000,Location-based,11,Decreased,"Two simultaneous effects explain this decrease : the revenus have increased and the scope 1 and 2 emissions decreased. Scope 1 (-7%) and scope 2 (-38%). The emissions decreased corresponds to the commitement of EDF to decrease fossil fired power plant emissions, with important shutdown in 2019 (Cottam coal plant in UK and oil fuel power units in France)"
1,EDF - Climate Change 2020,57,33379486.72,megawatt hour generated (MWh),588035.91,Location-based,1,Increased,"In spite of the decrease of emissions, a slightly increase is observed. It is due to the decrease of generation of -9%"
2,Elia System Operator - Climate Change 2020,0.0002509081,238061.58,unit total revenue,948800000,Market-based,1.19,Increased,"Nominator: Absolute emissions increased (+0,07%) but very slightly thanks to the decrease of the carbon intensity of the electricity grid in Belgium in 2019. Denominator: Our total revenue decreased in 2019 compared to 2018 (-1.1%)"
3,Elia System Operator - Climate Change 2020,3.5021067416,4987,full time equivalent (FTE) employee,1424,Market-based,0.25,Decreased,"This indicator is measured and monitored for the non-core Elia activities. Nominator: Absolute emissions of our non-core emissions are rather stable with an increase of 3,98%. Denominator: Number of FTE has increased since last year with 4,25 %."
4,Elia System Operator - Climate Change 2020,0.0032102375,238061.58,megawatt hour transmitted (MWh),74157000,Market-based,3.38,Increased,"Nominator: Absolute emissions increased (+0,07%) but very slightly thanks to the decrease of the carbon intensity of the electricity grid in Belgium in 2019. Denominator: Electricity transmitted decreased in 2019 compared to 2018 (-3,23%)"
5,TransAlta Corporation - Climate Change 2020,0.0088,20574442,unit total revenue,2347000000,Location-based,5,Decreased,"GHG emissions reduced in 2019, primarily as a result of significant GHG reductions from increased co-firing of gas in our Alberta Sundance coal facility. Revenues in 2019 were $2,347 million, up $98 million compared to 2018, mainly as a result of strong revenue generated from our Energy Marketing segment as well as higher production, resulting in higher revenue, within our US Coal segment due to strong merchant pricing in the Pacific Northwest."
6,TransAlta Corporation - Climate Change 2020,0.75,20574442,megawatt hour generated (MWh),27287582,Location-based,4,Decreased,"GHG emissions reduced in 2019, primarily as a result of significant GHG reductions from increased co-firing of gas in our Alberta Sundance coal facility. Overall production across our fleet was higher in 2019 as a result of higher production within from our US Coal facility due to the strong merchant demand in the Pacific Northwest."
7,Pampa Energia S.A. - Climate Change 2020,0.0049,6584645,unit total revenue,1334000000,Market-based,16.1,Increased,nan
8,Pampa Energia S.A. - Climate Change 2020,0.37,5804836,megawatt hour generated (MWh),15581842,Market-based,8.5,Decreased,nan
9,Pampa Energia S.A. - Climate Change 2020,0.17,291773,metric ton of product,1705351,Location-based,27.9,Decreased,nan
